config_id,dataset,seed,target_threshold,leakage_threshold,rule,deployed,selected_candidate,selected_method,external_contract_estimable,external_contract_satisfied,measured_external_contract_violation,procedurally_unsupported_deployment,support_mismatch_forced_abstention,confirmatory
Bios|seed=32|tau=0.4|lambda=0.7,Bios,32,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=32|tau=0.4|lambda=0.7,Bios,32,0.4,0.7,point_selection_balanced,False,,,True,NA,False,False,False,True
Bios|seed=32|tau=0.4|lambda=0.7,Bios,32,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=32|tau=0.4|lambda=0.7,Bios,32,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=32|tau=0.4|lambda=0.7,Bios,32,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=33|tau=0.4|lambda=0.7,Bios,33,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=33|tau=0.4|lambda=0.7,Bios,33,0.4,0.7,point_selection_balanced,False,,,True,NA,False,False,False,True
Bios|seed=33|tau=0.4|lambda=0.7,Bios,33,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=33|tau=0.4|lambda=0.7,Bios,33,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=33|tau=0.4|lambda=0.7,Bios,33,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=34|tau=0.4|lambda=0.7,Bios,34,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=34|tau=0.4|lambda=0.7,Bios,34,0.4,0.7,point_selection_balanced,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=34|tau=0.4|lambda=0.7,Bios,34,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=34|tau=0.4|lambda=0.7,Bios,34,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=34|tau=0.4|lambda=0.7,Bios,34,0.4,0.7,external_balanced_oracle,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=35|tau=0.4|lambda=0.7,Bios,35,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=35|tau=0.4|lambda=0.7,Bios,35,0.4,0.7,point_selection_balanced,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=35|tau=0.4|lambda=0.7,Bios,35,0.4,0.7,vera_balanced_iut,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=35|tau=0.4|lambda=0.7,Bios,35,0.4,0.7,vera_balanced_envelope,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=35|tau=0.4|lambda=0.7,Bios,35,0.4,0.7,external_balanced_oracle,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=36|tau=0.4|lambda=0.7,Bios,36,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=36|tau=0.4|lambda=0.7,Bios,36,0.4,0.7,point_selection_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=36|tau=0.4|lambda=0.7,Bios,36,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=36|tau=0.4|lambda=0.7,Bios,36,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=36|tau=0.4|lambda=0.7,Bios,36,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=37|tau=0.4|lambda=0.7,Bios,37,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=37|tau=0.4|lambda=0.7,Bios,37,0.4,0.7,point_selection_balanced,False,,,True,NA,False,False,False,True
Bios|seed=37|tau=0.4|lambda=0.7,Bios,37,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=37|tau=0.4|lambda=0.7,Bios,37,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=37|tau=0.4|lambda=0.7,Bios,37,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=38|tau=0.4|lambda=0.7,Bios,38,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=38|tau=0.4|lambda=0.7,Bios,38,0.4,0.7,point_selection_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=38|tau=0.4|lambda=0.7,Bios,38,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=38|tau=0.4|lambda=0.7,Bios,38,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=38|tau=0.4|lambda=0.7,Bios,38,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=39|tau=0.4|lambda=0.7,Bios,39,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
